X,Y,region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,geometry,temperature,land_cover,theta,presence_absence,observation
-0.867667357813166,45.6947991803247,NOUVELLE-AQUITAINE,36,3.81,1,Vigne,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Ouest,0,0,0,,-0.867667357813166|45.6947991803247,9.56691932678223,Agro-natural fields,0.00932762579396184,0,Species not observed
-0.194718702164863,46.7349232321351,NOUVELLE-AQUITAINE,164,3.25,0,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,,-0.194718702164863|46.7349232321351,8.06765174865723,Extensive fields,0.286643654459732,1,Species observed
-0.143792054473851,46.6406401127515,NOUVELLE-AQUITAINE,157,6.07,1,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,,-0.143792054473851|46.6406401127515,7.96102285385132,Extensive fields,0.190789905146232,0,Species not observed
4.3681793620819,49.5537402880483,GRAND-EST,91,10,1,Ble,Semi-continental nord,Open field,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,4.3681793620819|49.5537402880483,6.38543081283569,Extensive fields,8.93512531686348e-05,0,Species not observed
3.777883208309,49.7051645084296,HAUTS-DE-FRANCE,84,4.15,1,Ble,Oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,3.777883208309|49.7051645084296,6.58959341049194,Extensive fields,0.000247950623872773,0,Species not observed
1.71582384704553,47.9714884160455,CENTRE-VAL DE LOIRE,123,4.5,1,Ble,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plateau,0,Plein soleil,Sud-Ouest,0,0,0,,1.71582384704553|47.9714884160455,7.71474599838257,Extensive fields,0.0643882151969062,0,Species not observed
3.09159970719705,48.7336393339642,ILE-DE-FRANCE,74,11.44,1,Ble,Semi-oceanique,Paysage mixte,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,3.09159970719705|48.7336393339642,7.04158926010132,Extensive fields,0.00237103774495933,0,Species not observed
1.93491535856176,47.821124754212,CENTRE-VAL DE LOIRE,94,1.32,1,Salade,Semi-oceanique,Open field,"Batis, milieu rural",Zone horticole,Zone horticole,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,1.93491535856176|47.821124754212,7.84392690658569,Extensive fields,0.116051425919354,1,Species observed
-3.2031575904409,47.6226406545054,BRETAGNE,12,2.2,1,Salade,Oceanique,Paysage mixte,Information inconnue,Zone maraichere,Zone maraichere,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,,-3.2031575904409|47.6226406545054,9.9969425201416,Extensive fields,0.999839123487465,1,Species observed
-0.507625948832243,45.7346019926638,NOUVELLE-AQUITAINE,76,4.4,1,Vigne,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Bassin viticole,Bassin viticole,Plateau,0,Plein soleil,Sud-Ouest,0,0,0,,-0.507625948832243|45.7346019926638,9.19964027404785,Agro-natural fields,0.00149848865480208,0,Species not observed
